candidate,frequency,sample_product_names
Munchee,235,Munchee Favourites Biscuits | Munchee Nice Biscuits | Munchee Rollz Vanila | Munchee Savoury Nuts
Keells,231,Keells Chicken Bockwurst | Keells Chicken Cheese & Onion Sausages | Keells Chicken Meat Balls | Keells Chicken Sausages
Maliban,214,Maliban Full Cream Milk Powder Pouch | Maliban Malt Pouch | Maliban Non Fat Milk Powder | Maliban Uht Fresh Milk
Kist,214,Kist Aloe Vera Nectar | Kist Mango Nectar | Kist Mixed Fruit Nectar | Kist Sparkling Green Apple Flavoured Drink
Md,203,Md Faluda Mix | Md Mixed Fruit Cordial | Md Nelli Cordial | Md Orange Cordial
Catch,170,Catch Biriyani Whole Spice Mix | Catch Green Gram Dhal | Catch Sweet Corn | Catch Toor Dhal
Ritzbury,157,Ritzbury Cashew Chocolate | Ritzbury Fruit & Nut Choc Blue | Ritzbury Moments Assorted Pack | Ritzbury Peanut Chocolate Blue
Prima,148,"Prima Kottu Mee Cheese & Onion Noodles | Prima Kottu Mee Multi Pack 85 G | Prima Kottu Mee Multi Pack,Chicken 5Pcs | Prima Stella Chicken Noodles 5 Pack"
Glomark,130,Glomark Ball Muruku | Glomark Bottled Drinking Water | Glomark Cassava Chips | Glomark Sugar Murukku
My,127,My Choice Fresh Strawberry | My Choice Tamarind | My Cola | My Ginger Beer
Motha,125,Motha Blackcurrant Flavoured Jelly | Motha Caramel Pudding Mix | Motha Jelly Strawberry Flavour | Motha Rose Faluda Mix
Kotmale,121,Kotmale Curd | Kotmale Milk Chocolate | Kotmale Processed Cheese Wedges | Kotmale Processed Cheese Wedges Pepper
My Choice,110,My Choice Brown Sugar Packet | My Choice Fresh Strawberry | My Choice Tamarind | My Choice White Sugar Packet
Dilmah,108,"Dilmah Green Tea Bags Ginger Flavour,20 Pcs | Dilmah Premium Tea | Dilmah Premium Tea Bags | Dilmah Strong Tea"
Ma'S,106,Ma'S Garlic Powder | Ma'S Rasam Soup Cube 10G*6 | Ma'S Stick Noodles 2.5Mm | Ma'S Stick Noodles 5Mm
Atlas,95,"Atlas Colour Pens | Atlas Cr Single Ruled Book, 160 Pages | Atlas Natural Clay | Atlas Precise Clear Ruler,30Cm"
Edinborough,92,Edinborough Choc-A-Lay Chocolate Spread | Edinborough Mayonnaise Sauce | Edinborough Rose Syrup | Edinborough Tomato Sauce
Star,92,Star Brand Apple Colouring | Star Brand Egg Yellow Colouring | Star Brand Rose Essence | Star Brand Vanilla Essence
Kandos,90,Kandos 21 Collection Cashew And Crispy Milk Chocol | Kandos Cashewnut Chocolate Bar | Kandos Choconuts | Kandos Promises Chocolate
Velona,85,"Velona Cuddle Wet Wipes | Velona Cuddles Diaper Pants, L | Velona Cuddles Diaper Pants, Xl | Velona Cuddles Diaper Pants, Xxl"
Mccurrie,85,Mccurrie Garam Masala | Mccurrie Goraka Whole | Mccurrie Maldive Fish Chips | Mccurrie Unroasted Curry Powder
Anchor,84,Anchor Pedia Pro 3-5 Years | Anchor Pedia Pro Mfgm Milk Formula For 1-3 Years | Anchor Pediapro School Champ Vanilla 4-6 Years | Anchor Plus 1-5 Years
Finch,84,Finch Ginger Powder | Finch Onion Powder | Finch Oregano Leaves | Finch Rosemary Leaves
Revello,83,"Revello Brownie | Revello Minis , 12Pcs | Revello Speciality Marzipan Chocolate | Revello Speciality Roses"
Elephant,76,Elephant House Chocolate Ice Cream | Elephant House Fruit & Nut Ice Cream | Elephant House Karutha Kolumban Ice Cream | Elephant House Vanilla Ice Cream
Elephant House,73,Elephant House Chocolate Ice Cream | Elephant House Fruit & Nut Ice Cream | Elephant House Karutha Kolumban Ice Cream | Elephant House Vanilla Ice Cream
Crescent,64,Crescent Chicken Kochchi Bites | Crescent Chicken Lasagna | Crescent Chicken Mini Kievs | Crescent Hummus
Dilmah Tea,64,Dilmah Tea Gr. Bag Mor.Mint 20S | Dilmah Tea Infusion Camomile 20S | Dilmah Tea Leaf Premium | Dilmah Tea Strong
Nature,60,Nature S Secrets Aloe Vera Body Wash | Nature S Secrets C Vitamin Skin Repair Radiance Serum | Nature S Secrets Men S Facial Wash Mint & Aloe | Nature S Secrets Oil Control Facial Wash Green Tea & Aloe
Star Gold,60,Star Gold Full Cream M/Powder | Star Gold Kids Pasta Letters | Star Gold Kids Pasta Space | Star Gold Pasta Penne
Flora,59,"Flora Margarine | Flora Multifold Paper Towels | Flora Paper Plates 7"" | Flora Paper Serviettes 1Ply"
Sethum,56,Sethum Kidney Beans | Sethum Red Cowpea | Sethum Roasted & Salted Pistachio | Sethum White Cowpea
Happy,54,"Happy Cow Cheese Slices, Mozzarella | Happy Cow Gouda Cheese Slices | Happy Cow Regular Cheese Slices | Happy Hen Eggs Large"
MUNCHEE,54,MUNCHEE Biscuit Salsa Savoury | MUNCHEE Hawaian Cookies | MUNCHEE Milk Short Cake | MUNCHEE Super Cream Cracker
Harischandra,53,Harischandra Kurakkan Flour | Harischandra Kurakkan Noodles Packet | Harischandra Red Noodles Packet | Harischandra Yellow Noodles Packet
Smak,52,Smak Nectar Aloe Vera | Smak Nectar Mango | Smak Nectar Mixed Fruit | Smak Nectar Woodapple
Cic,51,Cic Besto Omega 3 White Egg Large | Cic Besto Omega 3 White Egg Standard | Cic Skinless Boneless Chicken Breast | Cic Skinless Chicken Thighs
